time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11
81;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;4.9;5.9;0.90;1.9;5.9;1.9;8.9;0.90;0.90;0.90;1.9
82;0;0.0;0.0;4.6;749948;1732008;87;2.5;19;14;3.9;5.9;0.90;1.9;5.9;0.0;9.9;2.9;0.0;1.9;0.90
83;0;0.0;0.0;4.6;749948;1732008;87;2.6;19;14;4.0;7.0;4.0;2.0;6.0;2.0;9.0;3.0;2.0;3.0;3.0
84;0;0.0;0.0;4.6;749948;1732008;88;2.9;19;19;7.0;9.0;12;7.0;9.0;6.0;12;4.0;5.0;7.0;5.0
85;0;0.0;0.0;4.6;749948;1732008;88;3.5;19;27;28;19;14;12;16;21;19;13;12;17;17
86;0;0.0;0.0;4.6;749948;1732008;87;3.1;19;21;8.9;12;6.9;3.9;8.9;8.9;13;5.9;1.9;4.9;4.9
87;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;16;6.0;7.0;3.0;1.00;7.0;2.0;10;7.0;2.0;3.0;11
88;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;18;8.0;9.0;7.0;19;10;5.0;11;15;10;7.0;7.0
89;0;0.0;0.0;4.6;749948;1732008;87;2.9;19;17;9.0;9.0;7.0;7.0;9.0;14;12;8.0;9.0;5.0;8.0
90;0;0.0;0.0;4.6;749948;1732008;87;3.5;19;22;32;16;20;18;18;20;19;22;26;11;18
91;0;0.0;0.0;4.6;749948;1732008;87;2.9;19;21;13;8.9;3.9;19;9.9;5.9;13;9.9;4.9;8.9;5.9
92;0;0.0;0.0;4.6;749948;1732008;87;2.8;19;18;15;9.0;6.0;6.0;9.0;6.0;13;5.0;5.0;5.0;6.0
