time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
6565;1;26996.416016;171971.328125;12;930344;1993808;88;14;19;20;21;22;20
6566;1;2664.000000;82720.000000;12;930344;1993808;88;15;19;21;21;21;20
6567;1;0.0;0.0;12;930344;1993808;88;14;19;18;19;20;18
6568;1;17275.986328;579082.437500;12;930344;1993808;88;15;19;24;24;24;21
6569;1;3832.000000;57904.000000;12;930344;1993808;88;14;19;21;21;22;20
6570;1;131650.656250;106148.468750;12;930344;1993808;88;15;19;36;30;28;30
6571;1;17672.000000;72568.000000;12;930344;1993808;88;13;19;16;23;18;18
6572;1;0.0;0.0;12;930344;1993808;88;14;19;25;19;15;18
6573;1;2222842.750000;1514641.500000;12;930344;1993808;88;16;19;30;22;17;21
6574;1;13906120.000000;701152.000000;12;930344;1993808;88;22;19;37;33;30;28
6575;1;15250080.000000;205168.000000;12;930344;1993808;88;19;19;36;21;33;23
6576;1;3720232.000000;36488.000000;12;930344;1993808;88;15;19;28;14;23;19
6577;2;12363071.000000;946066.625000;12;930344;1993808;88;16;19;32;16;25;19
6578;2;1254744.000000;361648.000000;12;930344;1993808;88;14;19;25;18;21;17
6579;2;51264.000000;253360.000000;12;930344;1993808;88;14;19;24;19;19;17
6580;2;56;4264.000000;12;930344;1993808;88;14;19;22;20;18;18
6581;2;83414.187500;1539286.250000;12;930344;1993808;88;15;19;28;17;22;17
6582;2;30656.000000;457736.000000;12;930344;1993808;88;14;19;27;14;22;16
6583;2;10160.000000;64472.000000;12;930344;1993808;88;14;19;29;11;23;17
6584;2;32304.000000;1059744.000000;12;930344;1993808;88;15;19;30;13;24;18
6585;2;834008.000000;432848.000000;12;930344;1993808;88;14;19;26;17;21;18
6586;2;18472.000000;51680.000000;12;930344;1993808;88;13;19;22;17;18;17
6587;2;9624.000000;48056.000000;12;930344;1993808;88;13;19;25;13;20;16
6588;2;17008.000000;239760.000000;12;930344;1993808;88;14;19;26;15;20;16
6589;2;26464.000000;301624.000000;12;930344;1993808;88;14;19;28;14;21;17
6590;2;568040.000000;488256.000000;12;930344;1993808;88;15;19;31;14;26;18
6591;2;1720352.375000;369625.625000;12;930344;1993808;88;15;19;29;17;22;17
6592;2;2565.434570;66109.890625;12;930344;1993808;88;14;19;24;17;18;18
6593;2;15207.207031;78662.664062;12;930344;1993808;88;14;19;26;13;19;16
6594;2;18776.000000;69240.000000;12;930344;1993808;88;14;19;27;13;20;16
6595;2;22272.000000;49632.000000;12;930344;1993808;88;14;19;24;17;17;17
6596;2;26045.953125;101626.375000;12;930344;1993808;88;13;19;24;17;17;17
6597;2;508724.718750;164884.890625;12;930344;1993808;88;14;19;25;18;18;17
6598;2;20587.412109;41318.679688;12;930344;1993808;88;14;19;25;19;18;17
6599;2;16456.000000;45496.000000;12;930344;1993808;88;14;19;29;11;23;18
6600;2;16448.000000;49632.000000;12;930344;1993808;88;14;19;29;9.9;23;16
6601;2;2400.000000;33088.000000;12;930344;1993808;88;14;19;26;9.0;21;15
6602;2;3360.000000;62040.000000;12;930344;1993808;88;13;19;28;11;24;15
6603;2;2624.000000;90992.000000;12;930344;1993808;88;14;19;26;12;21;17
6604;2;3912.000000;82056.000000;12;930344;1993808;88;14;19;24;16;20;16
6605;2;3264.000000;82720.000000;12;930344;1993808;88;14;19;29;10;22;17
6606;2;2456.000000;70312.000000;12;930344;1993808;88;14;19;28;11;22;15
6607;2;6192.000000;70312.000000;12;930344;1993808;88;14;19;29;9.9;22;18
6608;2;9097.096680;113449.453125;12;930344;1993808;88;14;19;28;10;21;16
6609;2;262288.000000;168080.000000;12;930344;1993808;88;14;19;30;11;24;16
6610;2;586592.000000;200184.000000;12;930344;1993808;88;14;19;31;12;24;17
6611;2;300592.000000;103400.000000;12;930344;1993808;88;14;19;25;18;18;17
6612;2;211184.000000;71760.000000;12;930344;1993808;88;14;19;26;14;20;15
6613;2;3016.000000;75720.000000;12;930344;1993808;88;14;19;29;11;23;16
6614;2;573641.875000;351470.343750;12;930344;1993808;88;14;19;29;21;21;19
6615;2;453320.000000;116528.000000;12;930344;1993808;88;14;19;26;19;19;18
6616;2;22784.000000;53768.000000;12;930344;1993808;88;13;19;22;17;18;17
6617;2;16216.000000;167680.000000;12;930344;1993808;88;14;19;25;15;21;16
6618;2;4160.000000;50224.000000;12;930344;1993808;88;13;19;24;11;23;16
6619;2;2792.000000;57904.000000;12;930344;1993808;88;14;19;21;19;22;19
