time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
112;0;0.0;0.0;13;1071840;2059404;92;16;19;37;36;42;42
113;0;0.0;0.0;13;1071840;2059404;92;21;19;63;66;59;67
114;0;0.0;0.0;13;1071840;2059404;93;24;19;55;60;57;62
115;0;0.0;0.0;13;1071840;2059404;93;18;19;38;48;41;50
116;0;0.0;0.0;13;1071840;2059404;92;17;19;43;41;35;40
117;0;0.0;0.0;13;1071840;2059404;92;21;19;46;50;44;51
118;0;0.0;0.0;13;1071840;2059404;92;22;19;61;67;62;68
119;0;0.0;0.0;13;1071840;2059404;92;20;19;40;44;38;47
120;0;0.0;0.0;13;1071840;2059404;92;19;19;46;48;41;51
121;0;0.0;0.0;13;1071840;2059404;92;17;19;32;35;35;41
122;0;0.0;0.0;13;1071840;2059404;92;17;19;35;37;38;42
123;0;0.0;0.0;13;1071840;2059404;92;21;19;53;55;52;63
124;0;0.0;0.0;13;1071840;2059404;92;18;19;39;42;40;50
125;0;0.0;0.0;13;1071840;2059404;92;14;19;19;27;22;33
126;0;0.0;0.0;13;1071840;2059404;92;16;19;32;36;27;41
127;0;0.0;0.0;13;1071840;2059404;92;16;19;36;37;34;45
128;0;0.0;0.0;13;1071840;2059404;92;17;19;35;33;46;41
129;0;0.0;0.0;13;1071840;2059404;92;19;19;40;44;46;48
130;0;0.0;0.0;13;1071840;2059404;92;18;19;40;38;40;48
131;0;0.0;0.0;13;1071840;2059404;92;15;19;23;22;25;33
132;0;0.0;0.0;13;1071840;2059404;92;16;19;27;27;29;36
133;0;0.0;0.0;13;1071840;2059404;92;19;19;44;46;52;53
134;0;0.0;0.0;13;1071840;2059404;92;15;19;24;24;29;34
135;0;0.0;0.0;13;1071840;2059404;92;18;19;39;41;44;48
136;0;0.0;0.0;13;1071840;2059404;92;18;19;44;50;64;77
137;0;0.0;0.0;13;1071840;2059404;92;16;19;38;49;59;70
138;0;0.0;0.0;13;1071840;2059404;92;18;19;32;37;39;52
139;0;0.0;0.0;13;1071840;2059404;92;17;19;32;30;36;39
140;0;0.0;0.0;13;1071840;2059404;92;16;19;32;34;40;41
141;0;0.0;0.0;13;1071840;2059404;91;15;19;26;22;26;32
142;0;0.0;0.0;13;1071840;2059404;91;16;19;34;32;41;41
143;0;0.0;0.0;13;1071840;2059404;91;17;19;29;31;41;41
144;0;0.0;0.0;13;1071840;2059404;91;16;19;30;30;36;41
145;0;0.0;0.0;13;1071840;2059404;91;15;19;25;16;24;31
146;0;0.0;0.0;13;1071840;2059404;91;15;19;23;23;26;32
147;0;0.0;0.0;13;1071840;2059404;91;14;19;21;18;24;32
148;0;0.0;0.0;13;1071840;2059404;91;18;19;39;42;55;50
149;0;0.0;0.0;13;1071840;2059404;91;16;19;29;28;36;38
150;0;0.0;0.0;13;1071840;2059404;92;15;19;31;26;44;39
151;0;0.0;0.0;13;1071840;2059404;92;19;19;36;43;39;49
152;0;0.0;0.0;13;1071840;2059404;92;19;19;42;43;49;53
153;0;0.0;0.0;13;1071840;2059404;92;18;19;34;37;37;46
154;0;0.0;0.0;13;1071840;2059404;92;18;19;37;33;33;41
155;0;0.0;0.0;13;1071840;2059404;92;14;19;20;25;17;32
156;0;0.0;0.0;13;1071840;2059404;92;18;19;45;47;48;56
157;0;0.0;0.0;13;1071840;2059404;92;16;19;27;33;33;40
158;0;0.0;0.0;13;1071840;2059404;92;18;19;27;39;38;47
159;0;0.0;0.0;13;1071840;2059404;92;15;19;26;32;30;39
160;0;0.0;0.0;13;1071840;2059404;92;14;19;18;22;22;28
161;0;0.0;0.0;13;1071840;2059404;92;14;19;20;23;23;32
162;0;0.0;0.0;13;1071840;2059404;92;14;19;13;25;21;32
163;0;0.0;0.0;13;1071840;2059404;92;16;19;35;32;33;40
164;0;0.0;0.0;13;1071840;2059404;92;16;19;30;32;38;42
165;0;0.0;0.0;13;1071840;2059404;92;16;19;32;34;40;44
166;0;0.0;0.0;13;1071840;2059404;92;18;19;36;43;48;50
167;0;0.0;0.0;13;1071840;2059404;92;16;19;30;31;42;41
168;0;0.0;0.0;13;1071840;2059404;92;16;19;32;42;42;46
169;0;0.0;0.0;13;1071840;2059404;92;16;19;28;32;34;40
170;0;0.0;0.0;13;1071840;2059404;92;18;19;30;35;35;43
171;0;0.0;0.0;13;1071840;2059404;92;21;19;42;46;56;57
172;0;0.0;0.0;13;1071840;2059404;92;19;19;40;55;53;57
173;0;0.0;0.0;13;1071840;2059404;92;18;19;34;45;44;55
174;0;0.0;0.0;13;1071840;2059404;92;25;19;51;57;62;63
175;1;1122.302124;4719.424316;13;1071840;2059404;93;18;19;42;43;59;61
176;1;3600.000000;70016.000000;13;1071840;2059404;92;18;19;41;39;55;59
177;1;489779.062500;408686.031250;13;1071840;2059404;92;18;19;35;37;44;47
